id,region,town,city,price,price_per_meter,area,room_count,oldness,floor_count,has_parking,has_storeroom,has_elevator,has_loan,lat,lon,updated_at
6vlwOEkFZik=,2,shahrak-gharb,tehran,22550,161,140,3,9,4,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:19.061258+03:30
7Y_xTIlzw94=,1,dibaji,tehran,15200,104,145,3,15,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.125242+03:30
urAEjhg9~gA=,1,dibaji,tehran,14000,129,108,2,12,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.139924+03:30
qbVGiyuaZdQ=,1,shariati,tehran,24000,171,140,3,5,10,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:19.221824+03:30
th79XP1luX8=,1,dibaji,tehran,10300,119,86,2,12,1,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.203834+03:30
XGbqb3C9jog=,1,dibaji,tehran,17500,150,116,2,15,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.268712+03:30
DOvcFkkcQf0=,1,shariati,tehran,17000,147,115,2,6,6,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:19.312454+03:30
lEFBZll6Axk=,1,dibaji,tehran,7800,104,75,2,14,2,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.368975+03:30
8s4Z_FZS57g=,1,dibaji,tehran,14000,116,120,3,5,5,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.412472+03:30
y8k59hjau30=,1,shariati,tehran,9400,102,92,2,12,3,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:19.470916+03:30
mxWHRlJkACU=,1,dibaji,tehran,16500,137,120,2,15,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.654214+03:30
nsRp1rdkGks=,1,dibaji,tehran,13100,104,125,2,8,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:19.790009+03:30
P6bg6FOoaWQ=,1,dibaji,tehran,65000,237,274,4,13,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:20.190992+03:30
e2Cr7MK7dmw=,1,dibaji,tehran,29000,138,210,3,6,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:20.216578+03:30
bcdd3gYKd20=,1,dibaji,tehran,21000,125,167,3,18,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:20.290404+03:30
jaotpDzWuzs=,1,shariati,tehran,10900,139,78,1,3,4,True,False,True,False,35.790178,51.435478,2023-12-02T15:42:20.254484+03:30
Ys1UzDZ0DqQ=,1,dibaji,tehran,12500,125,100,2,9,3,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:20.738855+03:30
x2fjIzWB~O4=,1,shariati,tehran,17700,152,116,2,10,3,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:20.771482+03:30
